,Smiles
0,CC12CCC3C4CCC(O[Si](C)(C)C)CC4CCC3C1CC=C2O[Si](C)(C)C,2
1,CC1(C)CCC2=C1CC(O[Si](C)(C)C)C1(F)C2CC=C2C=C(O[Si](C)(C)C)CCC21C
2,CC12CCC3C4CCC(O[Si](C)(C)C)=CC4=CCC3C1CCC2O[Si](C)(C)C
3,CC1CC(O[Si](C)(C)C)=CC2CCC3C4CCC(O[Si](C)(C)C)C4(C)CCC3C12C
4,CC1CC2CC(O[Si](C)(C)C)CCC2(C)C2CCC3(C)C(CCC3(C)O[Si](C)(C)C)C12,2
5,CC12CCC3C(CCC4=C(Cl)C(O[Si](C)(C)C)CCC43C)C1CC=C2O[Si](C)(C)C
6,CC1C=C2C=C(O[Si](C)(C)C)CCC2C2CCC3(C)C(CCC3(C)O[Si](C)(C)C)C12
7,CC12CCC(O[Si](C)(C)C)=CC1=CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
8,CC12COC(O[Si](C)(C)C)=CC1CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
9,CC12CCC3C4CCC(O[Si](C)(C)C)=C(Cl)C4=CCC3C1CCC2O[Si](C)(C)C
10,CC12C=CC(O[Si](C)(C)C)=CC1=C(O[Si](C)(C)C)CC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
11,CC12C=CC(O[Si](C)(C)C)=C(Cl)C1=CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
12,C#CC1(O[Si](C)(C)C)CCC2C3CC=C4C=C(O[Si](C)(C)C)C(CO[Si](C)(C)C)CC4(C)C3CCC21C
13,CC12C=CC(O[Si](C)(C)C)=CC1CCC1C2CCC2(C)C(O[Si](C)(C)C)CCC12
14,CC1CC2(C)C(CCC3C4CC=C(O[Si](C)(C)C)C4(C)CCC32)CC1O[Si](C)(C)C
15,Cc1cc(C)cc(N(C(=Cc2ccc(OC(C)(C)C(=O)O)cc2)O[Si](C)(C)C)[Si](C)(C)C)c1
16,CC1CC(O[Si](C)(C)C)CC2CCC3C4CCC(O[Si](C)(C)C)C4(C)CCC3C12C
17,C#CC1(O[Si](C)(C)C)CCC2C3C(C)CC4=C(CCC(O[Si](C)(C)C)C4)C3CCC21C
18,CC1=CC(O[Si](C)(C)C)=CC2CCC3C4CCC(O[Si](C)(C)C)C4(C)CCC3C12C
19,CC12CCC(O[Si](C)(C)C)CC1=CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C,2
20,CC1=CC2(C)C(C=C1O[Si](C)(C)C)CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
21,CC1C=C2C=C(O[Si](C)(C)C)C=CC2(C)C2CCC3(C)C(CCC3(C)O[Si](C)(C)C)C12
22,CC12CCC(O[Si](C)(C)C)=C(O[Si](C)(C)C)C1=CCC1C2CCC2(C)C(O[Si](C)(C)C)CCC12
23,CC1(O[Si](C)(C)C)CCC2C3CC=C4C=C(O[Si](C)(C)C)CCC4(C)C3(F)C(O[Si](C)(C)C)CC21C
24,CC12C=CC(O[Si](C)(C)C)=C(Cl)C1=C(O[Si](C)(C)C)CC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
25,CC12C=CC(O[Si](C)(C)C)CC1CCC1C2CCC2(C)C1CCC2(C)O[Si](C)(C)C
26,CC12CCC3C(CCC4CC(O[Si](C)(C)C)C=CC43C)C1CC=C2O[Si](C)(C)C
27,CC12C=CC(O[Si](C)(C)C)CC1CCC1C2CCC2(C)C(O[Si](C)(C)C)CCC12
28,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,2
29,CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O[Si](C)(C)C)CCC5(C)C3CCC12C,2
30,[H]C1([H])C(=O)C2(C)C(C(C)CCC(=O)OC)CCC2C2CCC3CC(O)CCC3(C)C21,2
31,CC(CCC(=O)OC(C(F)(F)F)C(F)(F)F)C1CCC2C3CCC4CC(OC(=O)C(F)(F)F)CCC4(C)C3CCC12C,2
32,CC(CCC(=O)OC(C(F)(F)F)C(F)(F)F)C1CCC2C3C(OC(=O)C(F)(F)F)C(OC(=O)C(F)(F)F)C4CC(OC(=O)C(F)(F)F)CCC4(C)C3CCC12C,2
33,CC(CCC(=O)OC(C(F)(F)F)C(F)(F)F)C1CCC2C3CC(OC(=O)C(F)(F)F)C4CC(OC(=O)C(F)(F)F)CCC4(C)C3CCC12C,2
34,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)CCC4(C)C3CCC12C,2
35,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C,2
36,CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C,2
37,CCC(CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C)C(C)C,2
38,CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,2
39,[H]C([H])([H])C([H])(CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C)C([H])([H])[H],2
40,CC(C)CCCC(C)C1CCC2C3CCC4C=CCCC4(C)C3CCC12C
42,CC(C)CCCC(C)C1CCC2C3CCC4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C,2
43,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O[Si](C)(C)C)C(C)(C)C1CC3
44,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC21C,2
45,COC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
46,COC1CCC2(C)C(CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
47,CC=C(CCC(C)C1CCC2C3CC=C4CC(OC)CCC4(C)C3CCC12C)C(C)C
48,CCC(CCC(C)C1CCC2C3CC=C4CC(OC)CCC4(C)C3CCC12C)C(C)C
49,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
50,CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
51,CC=C(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
52,CC(C)CCCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
53,CON=C1C=C2CCC3C(CCC4(C)C(C(C)=NOC)CCC34)C2(C)CC1
55,C=C(CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C)C(C)C
56,CC=C(CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C)C(C)C
58,CON=C1C=C2CCC3C(CCC4(C)C3CCC4(O)C(C)=NOC)C2(C)CC1
59,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O
61,CC(C)CCCC(C)C1CCC2C3CCC4CC(OC(=O)c5ccccc5)CCC4(C)C3CCC12C
62,CC12CCCC1C1CCC3CCCCC3(C)C1CC2
63,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
64,CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
66,COCC1C(=O)C23CCC4C(C)(C)CCCC4(C)C2CCC1C3
67,CC(=O)OC1CCC2C3CCC4CC=CC(O)C4(C)C3CCC12C
69,CC(=O)OC1CCC2C3CCC4CCCC(O)C4(C)C3CCC12C
71,CC12CCC3C(CCC4CC=CC(O)C43C)C1CCC2O
72,CCC(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
73,COCOC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
74,CC=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
75,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
76,C=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
77,CC(C)CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
78,CCC(C=CC(C)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C)C(C)C
79,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
80,CCC(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
81,C=C(C)C(CC)CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C
82,CCC(C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
83,C=C(CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(C)C
84,CC(C)=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
85,CC12CCC3C(C=CC4=CC(=O)CCC43C)C1CCC2=O
86,CC12CCC3C(CC(O)C4=CC(=O)CCC43C)C1CCC2=O
87,CC12CCC3C(C(O)CC4=CC(=O)CCC43C)C1CCC2=O
88,CC(C=O)C1CCC2C3C(O)CC4=CC(=O)C=CC4(C)C3CCC12C
89,CC(C=O)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C
90,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
91,CC(C(=O)O)C1CCC2C3CCC4CC(=O)CCC4(C)C3C(O)CC12C
92,CC(C(=O)O)C1CCC2C3C(O)CC4=CC(=O)C=CC4(C)C3CC(O)C12C
93,CC(CCC(=O)O)C1CCC2C3CC(O)C4=CC(=O)CCC4(C)C3CCC12C
95,CC(=O)OC1CC2(C)C3CCC4(C)C(CC5OC6(CCC(C)CO6)C(C)C54)C3CCC2C(OC(C)=O)C1OC(C)=O
96,CCC(C=CC(C)C1CCC2C3=CCC4CC(OC(C)=O)CCC4(C)C3CCC21C)C(C)C
97,CC1CCC2(OC1)OC1CC3C4CCC5C(O[Si](C)(C)C)C(O[Si](C)(C)C)C(O[Si](C)(C)C)CC5(C)C4CCC3(C)C1C2C
98,CCC(CCC(C)C1CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
99,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
100,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
101,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
102,CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
103,CCC(C=CC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
104,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
